Host Id;Neighbourhood Group
7549;Manhattan
9744;Brooklyn
17985;Manhattan
21207;Brooklyn
21207;Brooklyn
22486;Bookyn
22486;Brooklyn
22486;Brooklyn
25183;Bookyn
31374;Manhattan
32294;Manhattan
32169;Bookyn
32169;Brooklyn
32294;Manhattan
35935;Brooklyn
9744;Brooklyn
44145;Brooklyn
7549;Manhattan
46978;Manhattan
52335;Brooklyn
54275;Brooklyn
59734;Manhattan
32169;Brooklyn
61491;Manhattan
64442;Manhattan
68428;Manhattan
72014;Brooklyn
72014;Brooklyn
51038;Brooklyn
44145;Brooklyn
83257;Manhattan
87773;Brooklyn
32294;Manhattan
11481;Brooklyn
93790;Manhattan
87773;Brooklyn
59734;Manhattan
51038;Brooklyn
72062;Manhattan
72062;Manhattan
118971;Brooklyn
119588;Brooklyn
35935;Brooklyn
126607;Manhattan
137814;Brooklyn
137974;Brooklyn
116599;Brooklyn
137974;Brooklyn
72014;Brooklyn
149929;Brooklyn
92788;Manhattan
168417;Manhattan
168525;Brooklyn
170510;Brooklyn
137814;Brooklyn
11481;Brooklyn
190409;Bronx
72062;Manhattan
181376;Brooklyn
126607;Manhattan
67778;Brooklyn
204539;Queens
867225;Manhattan
209460;Brooklyn
210746;Brooklyn
9744;Brooklyn
236421;Manhattan
27848;Queens
204539;Queens
204539;Queens
204539;Queens
10889;Brooklyn
210746;Brooklyn
256161;Manhattan
190409;Bronx
168525;Brooklyn
256161;Manhattan
277379;Manhattan
204539;Queens
292204;Manhattan
256161;Manhattan
126607;Manhattan
297176;Manhattan
297769;Manhattan
303939;Staten Island
303939;Staten Island
303939;Staten Island
306545;Manhattan
306605;Manhattan
306739;Brooklyn
308875;Brooklyn
303939;Staten Island
308652;Brooklyn
295128;Bronx
310670;Bronx
170510;Brooklyn
306545;Manhattan
311286;Brooklyn
312288;Manhattan
312722;Brooklyn
311286;Brooklyn
314582;Brooklyn
46978;Manhattan
322716;Brooklyn
314941;Manhattan
327673;Brooklyn
329436;Brooklyn
323517;Manhattan
240427;Brooklyn
72062;Manhattan
361855;Manhattan
308875;Brooklyn
118971;Brooklyn
417504;Brooklyn
430188;Brooklyn
417504;Brooklyn
417504;Brooklyn
438133;Brooklyn
417504;Brooklyn
448312;Brooklyn
448312;Brooklyn
417504;Brooklyn
464506;Manhattan
322716;Brooklyn
116599;Brooklyn
209460;Brooklyn
25183;Brooklyn
116599;Brooklyn
31374;Manhattan
522065;Manhattan
417504;Brooklyn
251176;Manhattan
322716;Brooklyn
551055;Manhattan
306739;Brooklyn
181376;Brooklyn
314582;Brooklyn
579495;Brooklyn
314941;Manhattan
209460;Brooklyn
611716;Brooklyn
622855;Brooklyn
308652;Brooklyn
627217;Manhattan
256161;Manhattan
663764;Brooklyn
663879;Brooklyn
216191;Brooklyn
256161;Manhattan
732535;Manhattan
733894;Queens
745069;Manhattan
758441;Brooklyn
759583;Brooklyn
54275;Brooklyn
54275;Brooklyn
733894;Queens
242506;Brooklyn
781647;Manhattan
627217;Manhattan
32169;Brooklyn
867225;Manhattan
733894;Queens
306605;Manhattan
22486;Brooklyn
803086;Manhattan
807642;Brooklyn
67778;Brooklyn
803086;Manhattan
302772;Manhattan
781647;Manhattan
836168;Manhattan
314941;Manhattan
864735;Queens
864735;Queens
872805;Manhattan
873273;Bronx
279078;Brooklyn
923915;Manhattan
48599;Manhattan
949221;Brooklyn
949221;Brooklyn
611716;Brooklyn
964482;Manhattan
918087;Brooklyn
51038;Brooklyn
464506;Manhattan
12221;Bronx
1018472;Brooklyn
1029021;Brooklyn
306739;Brooklyn
1112560;Brooklyn
864735;Queens
1114587;Manhattan
759583;Brooklyn
1138692;Manhattan
1138692;Manhattan
918087;Brooklyn
4887492;Manhattan
22486;Brooklyn
1165231;Manhattan
1165231;Manhattan
1112560;Brooklyn
663879;Brooklyn
1177497;Brooklyn
815977;Brooklyn
209460;Brooklyn
12221;Bronx
292204;Manhattan
1229984;Queens
83257;Manhattan
1240820;Brooklyn
1146958;Manhattan
1177497;Brooklyn
1177497;Brooklyn
1260921;Bronx
3647;Queens
417504;Brooklyn
605463;Manhattan
758441;Brooklyn
1313306;Manhattan
1313306;Manhattan
297769;Manhattan
417504;Brooklyn
417504;Brooklyn
417504;Brooklyn
417504;Brooklyn
417504;Brooklyn
417504;Brooklyn
417504;Brooklyn
417504;Brooklyn
417504;Brooklyn
417504;Brooklyn
417504;Brooklyn
417504;Brooklyn
1267021;Queens
417504;Brooklyn
1123923;Brooklyn
1356046;Brooklyn
1360198;Staten Island
1360198;Staten Island
1360198;Staten Island
52335;Brooklyn
605463;Manhattan
305972;Manhattan
1123923;Brooklyn
1385157;Manhattan
1385157;Manhattan
1366310;Queens
1315849;Brooklyn
1315849;Brooklyn
1417166;Brooklyn
1417166;Brooklyn
1427381;Brooklyn
605463;Manhattan
305972;Manhattan
1447684;Brooklyn
240427;Brooklyn
511175;Manhattan
1427381;Brooklyn
524730;Brooklyn
1029021;Brooklyn
1495502;Brooklyn
1495502;Brooklyn
417504;Brooklyn
417504;Brooklyn
417504;Brooklyn
417504;Brooklyn
417504;Brooklyn
430188;Brooklyn
417504;Brooklyn
496164;Brooklyn
1528912;Queens
1530310;Brooklyn
839679;Brooklyn
1539749;Brooklyn
236421;Manhattan
745069;Manhattan
745069;Manhattan
1385157;Manhattan
279078;Brooklyn
1639120;Brooklyn
9647066;Brooklyn
1651591;Brooklyn
1639120;Brooklyn
92788;Manhattan
51038;Brooklyn
312288;Manhattan
1697784;Brooklyn
1698391;Manhattan
1709216;Brooklyn
1709216;Brooklyn
1709216;Brooklyn
1732559;Manhattan
168417;Manhattan
1740216;Manhattan
1732559;Manhattan
251176;Manhattan
1785800;Brooklyn
1386983;Manhattan
390251;Manhattan
179679;Brooklyn
1879389;Brooklyn
1884204;Brooklyn
438133;Brooklyn
732535;Manhattan
732535;Manhattan
390251;Manhattan
1146958;Manhattan
1947974;Queens
1960128;Queens
312722;Brooklyn
1651591;Brooklyn
1947974;Queens
462379;Brooklyn
2010724;Manhattan
1386983;Manhattan
242506;Brooklyn
2015914;Brooklyn
2010724;Manhattan
1697784;Brooklyn
2050338;Brooklyn
2051075;Brooklyn
319077;Brooklyn
119588;Brooklyn
2096690;Brooklyn
2128778;Brooklyn
361855;Manhattan
2206506;Brooklyn
242506;Brooklyn
1267021;Queens
1267021;Queens
124357;Brooklyn
2219255;Brooklyn
9647066;Brooklyn
137814;Brooklyn
1530310;Brooklyn
2265770;Manhattan
2267864;Manhattan
1530310;Brooklyn
815977;Brooklyn
2120259;Brooklyn
2347382;Queens
2027013;Manhattan
2027013;Manhattan
2027013;Manhattan
277379;Manhattan
2377104;Brooklyn
914838;Manhattan
2389885;Brooklyn
1539749;Brooklyn
2400932;Brooklyn
2407024;Brooklyn
2446219;Queens
2389885;Brooklyn
2206506;Brooklyn
48599;Manhattan
2478675;Brooklyn
2267153;Manhattan
864735;Queens
1539749;Brooklyn
2096690;Brooklyn
2155917;Brooklyn
1366310;Queens
17985;Brooklyn
2604437;Manhattan
2027013;Manhattan
367815;Brooklyn
512878;Manhattan
1879389;Brooklyn
2027013;Manhattan
1785800;Brooklyn
2680820;Queens
2715012;Brooklyn
2518984;Manhattan
2777672;Manhattan
627217;Manhattan
1141935;Brooklyn
2822805;Brooklyn
1385157;Manhattan
2888900;Brooklyn
311286;Brooklyn
807642;Brooklyn
2407024;Brooklyn
2929756;Manhattan
2929756;Manhattan
210746;Brooklyn
2979607;Queens
3011547;Brooklyn
3647;Queens
2979607;Queens
2518984;Manhattan
1475015;Manhattan
2712353;Brooklyn
10889;Brooklyn
3069794;Brooklyn
1568517;Queens
836168;Manhattan
195137;Manhattan
3233986;Queens
1475015;Manhattan
1475015;Manhattan
1475015;Manhattan
1475015;Manhattan
1475015;Manhattan
3315563;Manhattan
3317183;Brooklyn
836168;Manhattan
3363720;Brooklyn
2400932;Brooklyn
3392287;Manhattan
3363720;Brooklyn
3317183;Brooklyn
2219255;Brooklyn
27848;Queens
2675998;Queens
2777672;Manhattan
3475005;Brooklyn
3392287;Manhattan
1229984;Queens
3491890;Manhattan
3491890;Manhattan
2446219;Queens
3531317;Brooklyn
3579337;Manhattan
279845;Brooklyn
1785800;Brooklyn
3621183;Queens
3625735;Staten Island
240048;Brooklyn
839679;Brooklyn
3625735;Staten Island
3672774;Brooklyn
3621183;Queens
3621183;Queens
3597769;Brooklyn
3684360;Bronx
216191;Brooklyn
3718361;Manhattan
3597769;Brooklyn
297176;Manhattan
417504;Brooklyn
417504;Brooklyn
3772684;Brooklyn
1475015;Manhattan
3842134;Brooklyn
2333904;Manhattan
1360198;Staten Island
15145088;Manhattan
15145088;Manhattan
1475015;Manhattan
2219255;Brooklyn
3929012;Manhattan
1884204;Brooklyn
3250450;Queens
3684360;Bronx
3992566;Brooklyn
3315563;Manhattan
3604585;Brooklyn
3604585;Brooklyn
1949282;Brooklyn
3684360;Bronx
1528912;Queens
1568517;Queens
1114587;Manhattan
4092307;Manhattan
4129805;Manhattan
2347382;Queens
430188;Brooklyn
873273;Manhattan
2478675;Brooklyn
3069794;Brooklyn
4185135;Brooklyn
4185135;Brooklyn
3718361;Manhattan
2333904;Manhattan
61491;Manhattan
3882661;Manhattan
758441;Brooklyn
1475015;Manhattan
149929;Brooklyn
22486;Brooklyn
512878;Manhattan
4113132;Queens
4113132;Queens
3038687;Manhattan
4065620;Brooklyn
149929;Brooklyn
1141935;Brooklyn
4241953;Queens
4299040;Manhattan
4299040;Manhattan
4299040;Manhattan
4299040;Manhattan
4310378;Brooklyn
4324286;Manhattan
4324286;Manhattan
872805;Manhattan
3882661;Manhattan
1865527;Brooklyn
4363775;Brooklyn
4378763;Queens
240048;Brooklyn
4393626;Manhattan
864735;Queens
4241953;Queens
430188;Brooklyn
4241953;Queens
4375988;Brooklyn
4241953;Queens
2843998;Brooklyn
254846;Brooklyn
2843998;Brooklyn
3259274;Brooklyn
4092307;Manhattan
4463092;Manhattan
2559004;Manhattan
4500999;Manhattan
1650330;Brooklyn
4363775;Brooklyn
4509849;Brooklyn
4509849;Brooklyn
4599027;Manhattan
4509849;Brooklyn
4310378;Brooklyn
4701443;Queens
4701443;Queens
4714927;Manhattan
4734398;Manhattan
4770121;Manhattan
2265770;Manhattan
4734398;Manhattan
4734398;Manhattan
4847926;Brooklyn
4864306;Brooklyn
4599027;Manhattan
4887492;Manhattan
511175;Manhattan
4932354;Brooklyn
4967515;Manhattan
4973668;Brooklyn
4973668;Brooklyn
4260529;Queens
51038;Brooklyn
4983320;Queens
5072123;Brooklyn
1865527;Brooklyn
1650330;Brooklyn
2675998;Queens
5165749;Manhattan
4932354;Brooklyn
1354796;Brooklyn
1865527;Brooklyn
555739;Brooklyn
216191;Brooklyn
4770121;Manhattan
2267153;Manhattan
5369117;Queens
4548229;Manhattan
555739;Brooklyn
5414067;Manhattan
5369117;Queens
5440087;Manhattan
4714927;Manhattan
15145088;Manhattan
15145088;Manhattan
15145088;Manhattan
3038687;Manhattan
273174;Manhattan
3363720;Brooklyn
329436;Brooklyn
5556571;Brooklyn
5619749;Brooklyn
4932354;Brooklyn
5634395;Manhattan
5652395;Bronx
1949282;Brooklyn
216191;Brooklyn
5696628;Brooklyn
3233986;Queens
273174;Manhattan
3740730;Manhattan
964482;Manhattan
5738733;Brooklyn
2680820;Queens
1356046;Brooklyn
839679;Brooklyn
1740216;Manhattan
4165498;Manhattan
5810195;Manhattan
697442;Brooklyn
462379;Brooklyn
7875272;Staten Island
11837926;Manhattan
5851210;Manhattan
2873394;Brooklyn
2128778;Brooklyn
5927702;Manhattan
5927702;Manhattan
5959653;Brooklyn
663764;Brooklyn
5986790;Manhattan
2768182;Brooklyn
4714927;Manhattan
1709216;Brooklyn
5908577;Brooklyn
3531317;Brooklyn
3158364;Queens
1018472;Brooklyn
265152;Brooklyn
265152;Brooklyn
4864306;Brooklyn
496164;Brooklyn
5942292;Brooklyn
5986790;Manhattan
6165258;Manhattan
302772;Manhattan
5942292;Brooklyn
3038687;Manhattan
1475015;Manhattan
6280254;Manhattan
836168;Manhattan
2559004;Manhattan
2010724;Manhattan
2559004;Manhattan
6486116;Manhattan
6471461;Queens
6602545;Brooklyn
622855;Brooklyn
3007815;Queens
6632440;Manhattan
6642777;Brooklyn
2050338;Queens
2559004;Manhattan
3475005;Queens
3571821;Brooklyn
2888900;Brooklyn
2873394;Brooklyn
6885157;Brooklyn
6885157;Brooklyn
5619749;Brooklyn
6885157;Brooklyn
1240820;Brooklyn
6602545;Brooklyn
6885157;Brooklyn
4393626;Manhattan
7073209;Brooklyn
7073209;Brooklyn
7112116;Manhattan
2015914;Brooklyn
7130382;Brooklyn
7136700;Brooklyn
6885157;Brooklyn
2478675;Brooklyn
3571821;Brooklyn
7182180;Manhattan
7182180;Manhattan
4932354;Brooklyn
7195403;Brooklyn
514261;Brooklyn
124357;Brooklyn
6885157;Brooklyn
7245581;Manhattan
7245581;Manhattan
1475015;Manhattan
7309232;Manhattan
7309232;Manhattan
7136700;Brooklyn
1411399;Manhattan
176903;Manhattan
2712353;Brooklyn
176903;Manhattan
697442;Brooklyn
7503643;Brooklyn
7474069;Manhattan
5959653;Brooklyn
7503643;Brooklyn
7130382;Brooklyn
7557833;Brooklyn
7558452;Manhattan
7557833;Brooklyn
7557833;Brooklyn
4165498;Manhattan
7499240;Manhattan
4129805;Manhattan
7691518;Manhattan
3038687;Manhattan
5908577;Brooklyn
7503643;Brooklyn
7831209;Manhattan
3604585;Brooklyn
279845;Brooklyn
7850260;Manhattan
7853251;Queens
7853251;Queens
7112116;Manhattan
4260529;Queens
7853251;Queens
7853251;Queens
2015914;Brooklyn
7245581;Manhattan
7245581;Manhattan
7503643;Brooklyn
6586128;Bronx
6885157;Brooklyn
2024924;Brooklyn
1354796;Brooklyn
4731948;Manhattan
4358024;Manhattan
347642;Brooklyn
8119708;Brooklyn
7503643;Brooklyn
6486116;Manhattan
173980;Brooklyn
7365834;Brooklyn
2333904;Manhattan
8200820;Brooklyn
6885157;Brooklyn
4983320;Queens
4548229;Manhattan
3038687;Manhattan
8119708;Brooklyn
8452695;Queens
8452695;Queens
8452639;Brooklyn
8481125;Manhattan
8265050;Brooklyn
7875272;Staten Island
7853251;Queens
7503643;Brooklyn
8783166;Queens
5440087;Manhattan
2935265;Manhattan
8732694;Brooklyn
8732694;Brooklyn
3562322;Brooklyn
5556571;Brooklyn
914838;Manhattan
4847926;Brooklyn
2119276;Manhattan
5942292;Brooklyn
7503643;Brooklyn
93790;Manhattan
5738733;Brooklyn
8265050;Brooklyn
3038687;Manhattan
2119276;Manhattan
2119276;Manhattan
2119276;Manhattan
6194487;Queens
8792814;Brooklyn
8925763;Manhattan
2015914;Brooklyn
2015914;Brooklyn
4864306;Brooklyn
4463092;Manhattan
2015914;Brooklyn
2332618;Brooklyn
9051298;Manhattan
8792814;Brooklyn
8792814;Brooklyn
7379093;Manhattan
17318747;Manhattan
8783166;Queens
7503643;Brooklyn
1411399;Manhattan
9207223;Manhattan
9209820;Brooklyn
4500999;Manhattan
2715012;Brooklyn
9234456;Brooklyn
173997;Brooklyn
9268805;Queens
5586949;Manhattan
7379093;Manhattan
367815;Brooklyn
1482208;Brooklyn
3886532;Brooklyn
1354796;Brooklyn
310670;Bronx
8200820;Brooklyn
6885157;Brooklyn
7557833;Brooklyn
7557833;Brooklyn
9207223;Manhattan
9501531;Manhattan
6841194;Brooklyn
9509269;Queens
9522524;Brooklyn
2208993;Manhattan
1146958;Manhattan
6632440;Manhattan
7195403;Brooklyn
7245581;Manhattan
9632747;Brooklyn
9638204;Manhattan
9632747;Brooklyn
173980;Brooklyn
9745149;Brooklyn
4378763;Queens
7503643;Brooklyn
9522524;Brooklyn
9522524;Brooklyn
9820942;Brooklyn
7503643;Brooklyn
9820942;Brooklyn
3158364;Queens
2332618;Brooklyn
9820942;Brooklyn
4358024;Manhattan
9898029;Brooklyn
9917136;Brooklyn
9745149;Brooklyn
6194487;Queens
9509269;Queens
5243122;Brooklyn
9501531;Manhattan
1229984;Queens
9989761;Manhattan
9265204;Brooklyn
9207223;Manhattan
8826175;Manhattan
5164854;Manhattan
2559004;Manhattan
9917136;Brooklyn
8551260;Brooklyn
579495;Brooklyn
8551260;Brooklyn
7503643;Brooklyn
9522524;Brooklyn
2777672;Manhattan
5586949;Manhattan
6885157;Brooklyn
4113132;Queens
10304755;Brooklyn
4467316;Brooklyn
8481125;Manhattan
10352213;Manhattan
1364042;Manhattan
1364042;Manhattan
10364678;Manhattan
8013034;Brooklyn
7580038;Manhattan
323517;Manhattan
10243387;Queens
10243387;Queens
10162529;Queens
10384906;Brooklyn
10384906;Brooklyn
3886532;Brooklyn
4274857;Manhattan
10528287;Brooklyn
10528287;Brooklyn
9864136;Manhattan
5164854;Manhattan
10575680;Manhattan
347642;Brooklyn
3011547;Brooklyn
7503643;Brooklyn
8452639;Brooklyn
10672341;Brooklyn
7245581;Manhattan
6471461;Queens
10575680;Manhattan
1318137;Brooklyn
9265204;Brooklyn
7503643;Brooklyn
1318137;Brooklyn
7503643;Brooklyn
8013034;Brooklyn
514261;Brooklyn
4967515;Manhattan
10384906;Brooklyn
10846328;Brooklyn
7503643;Brooklyn
7503643;Brooklyn
923915;Manhattan
2119276;Manhattan
68428;Manhattan
1698391;Manhattan
2879920;Manhattan
10972334;Brooklyn
9268805;Queens
5414067;Manhattan
3579337;Manhattan
11189753;Brooklyn
3579337;Manhattan
551055;Manhattan
7503643;Brooklyn
11297009;Manhattan
8312378;Manhattan
11457662;Brooklyn
11457662;Brooklyn
2024924;Brooklyn
3672774;Brooklyn
7503643;Brooklyn
8312378;Manhattan
11297009;Manhattan
2027013;Manhattan
9989761;Manhattan
7503643;Brooklyn
7503643;Brooklyn
7503643;Brooklyn
10674441;Brooklyn
7714918;Brooklyn
7503643;Brooklyn
6165258;Manhattan
4467316;Brooklyn
10672341;Brooklyn
11998560;Brooklyn
2768182;Brooklyn
10674441;Brooklyn
8452639;Brooklyn
173997;Brooklyn
3992566;Brooklyn
1177497;Brooklyn
12348871;Brooklyn
26640;Manhattan
12366541;Manhattan
4973668;Brooklyn
3053987;Brooklyn
2120259;Brooklyn
7503643;Brooklyn
26640;Manhattan
3578009;Queens
2768182;Brooklyn
5165749;Manhattan
12515888;Brooklyn
12515888;Brooklyn
10193030;Manhattan
64442;Manhattan
5696628;Brooklyn
7503643;Brooklyn
7503643;Brooklyn
12366541;Manhattan
7503643;Brooklyn
8826175;Manhattan
2935265;Manhattan
12358955;Brooklyn
12358955;Brooklyn
179679;Brooklyn
8288419;Brooklyn
8288419;Brooklyn
8288419;Brooklyn
8288419;Brooklyn
7365834;Manhattan
9743617;Manhattan
13063145;Brooklyn
6754169;Brooklyn
13347167;Manhattan
13347167;Manhattan
524730;Brooklyn
13347167;Manhattan
13347167;Manhattan
13347167;Manhattan
10384906;Brooklyn
13347167;Manhattan
4274857;Manhattan
13503154;Brooklyn
9898029;Brooklyn
72014;Brooklyn
4282318;Brooklyn
157795;Brooklyn
9051298;Manhattan
13611255;Brooklyn
3842134;Brooklyn
3929012;Manhattan
10846328;Brooklyn
11837926;Manhattan
3038687;Manhattan
13792543;Manhattan
13792543;Manhattan
7503643;Brooklyn
7503643;Brooklyn
13503154;Brooklyn
6586128;Bronx
1172202;Queens
13347167;Manhattan
14103991;Queens
2208993;Manhattan
8925763;Manhattan
4731948;Manhattan
14289427;Manhattan
14325632;Brooklyn
14103991;Queens
13347167;Manhattan
7850260;Brooklyn
5986790;Manhattan
7503643;Brooklyn
6885157;Brooklyn
7503643;Brooklyn
13649613;Bronx
3716641;Manhattan
13347167;Manhattan
3716641;Manhattan
13347167;Manhattan
1177497;Brooklyn
9638204;Manhattan
5317082;Brooklyn
1240820;Brooklyn
14103991;Queens
3339701;Queens
263500;Brooklyn
14902860;Brooklyn
4282318;Brooklyn
1447684;Brooklyn
15009272;Queens
15009272;Queens
3250450;Queens
1177497;Brooklyn
1177497;Brooklyn
1177497;Brooklyn
7691518;Manhattan
3259274;Brooklyn
13347167;Manhattan
13347167;Manhattan
2604437;Manhattan
13347167;Manhattan
7503643;Brooklyn
5986790;Manhattan
11998560;Brooklyn
1475015;Manhattan
13208084;Brooklyn
10364678;Manhattan
1475015;Manhattan
7245581;Manhattan
7503643;Brooklyn
1475015;Manhattan
1475015;Manhattan
1475015;Manhattan
1475015;Manhattan
5986790;Manhattan
7245581;Manhattan
7503643;Brooklyn
5317082;Brooklyn
13347167;Manhattan
13347167;Manhattan
3053987;Brooklyn
15688520;Manhattan
1475015;Manhattan
7136700;Brooklyn
15733420;Brooklyn
15740819;Brooklyn
15688520;Manhattan
1475015;Manhattan
15908653;Brooklyn
7580038;Manhattan
3323488;Brooklyn
3323488;Brooklyn
6754169;Brooklyn
7351;Brooklyn
14325632;Brooklyn
14902860;Brooklyn
3772684;Brooklyn
1369577;Brooklyn
9209820;Brooklyn
16245414;Brooklyn
11837926;Manhattan
16245414;Brooklyn
5164854;Manhattan
6032480;Brooklyn
16437254;Brooklyn
16514175;Queens
13208084;Brooklyn
14289427;Manhattan
327673;Brooklyn
3716641;Manhattan
15740819;Brooklyn
2051075;Brooklyn
430188;Brooklyn
11674837;Queens
13611255;Brooklyn
16834792;Brooklyn
7245581;Manhattan
2119276;Manhattan
12556197;Brooklyn
16916853;Brooklyn
7503643;Brooklyn
7549;Manhattan
2377104;Brooklyn
15310997;Manhattan
10657357;Manhattan
10657357;Manhattan
10657357;Manhattan
10657357;Manhattan
16286162;Bronx
5851210;Manhattan
16286162;Bronx
17292935;Bronx
17299359;Brooklyn
17318747;Manhattan
5634395;Manhattan
17051201;Brooklyn
17477908;Manhattan
17477908;Manhattan
17051201;Brooklyn
17479416;Manhattan
17299359;Brooklyn
3250450;Queens
3250450;Queens
4847926;Brooklyn
1475015;Manhattan
14902860;Brooklyn
7665324;Manhattan
254846;Brooklyn
7157099;Brooklyn
319077;Brooklyn
2879920;Manhattan
7157099;Brooklyn
2120259;Brooklyn
7245581;Manhattan
7499240;Manhattan
3609048;Brooklyn
5164854;Manhattan
12485770;Manhattan
16834792;Brooklyn
18212433;Manhattan
18212433;Manhattan
18212433;Manhattan
18260299;Brooklyn
11674837;Queens
13347167;Manhattan
3038687;Manhattan
12306481;Queens
18212433;Manhattan
5652395;Bronx
3562322;Brooklyn
12306481;Queens
3325418;Manhattan
7245581;Manhattan
7503643;Brooklyn
16916853;Brooklyn
18397763;Brooklyn
2119276;Manhattan
2119276;Manhattan
1475015;Manhattan
1475015;Manhattan
16098958;Manhattan
13347167;Manhattan
16437254;Brooklyn
2120259;Brooklyn
17051201;Brooklyn
7474069;Manhattan
16098958;Manhattan
2267864;Manhattan
18836774;Manhattan
18836774;Manhattan
18836774;Manhattan
10972334;Brooklyn
2119276;Manhattan
3007815;Queens
7503643;Brooklyn
19107278;Brooklyn
19107278;Brooklyn
17770287;Manhattan
18836774;Manhattan
18836774;Manhattan
522065;Manhattan
1475015;Manhattan
9864136;Manhattan
17479416;Manhattan
19331457;Manhattan
7665324;Manhattan
19382874;Brooklyn
3716641;Manhattan
3716641;Manhattan
10193030;Manhattan
16437254;Brooklyn
17292935;Bronx
2119276;Manhattan
5810195;Manhattan
3250450;Queens
6642777;Brooklyn
7558452;Manhattan
10162529;Queens
7848968;Brooklyn
1475015;Manhattan
19597910;Queens
19597910;Queens
23633;Brooklyn
23633;Brooklyn
1475015;Manhattan
2119276;Manhattan
2119276;Manhattan
16098958;Manhattan
20169857;Brooklyn
3250450;Queens
15733420;Brooklyn
19708200;Brooklyn
19708200;Brooklyn
3339701;Queens
18397763;Brooklyn
3339701;Queens
18397763;Brooklyn
1482208;Brooklyn
1475015;Manhattan
14902860;Brooklyn
1475015;Manhattan
17770287;Manhattan
18260299;Brooklyn
16098958;Manhattan
14902860;Brooklyn
16098958;Manhattan
16098958;Manhattan
12556197;Brooklyn
16715941;Manhattan
18260299;Brooklyn
157795;Brooklyn
5072123;Brooklyn
20169857;Brooklyn
20243795;Brooklyn
10352213;Manhattan
12348871;Brooklyn
4934489;Manhattan
20278196;Brooklyn
1475015;Manhattan
16715941;Manhattan
7245581;Manhattan
13347167;Manhattan
20278196;Brooklyn
20438402;Manhattan
20438402;Manhattan
20438402;Manhattan
20484008;Manhattan
295128;Bronx
295128;Bronx
7580038;Manhattan
12485770;Manhattan
20543178;Brooklyn
20278196;Brooklyn
1475015;Manhattan
1401835;Brooklyn
1475015;Manhattan
2119276;Manhattan
11790239;Manhattan
3325418;Manhattan
3325418;Manhattan
7831209;Manhattan
17249397;Manhattan
9743617;Manhattan
16514175;Queens
13649613;Bronx
2155917;Brooklyn
1369577;Brooklyn
430188;Brooklyn
10135;Manhattan
3967335;Brooklyn
3967335;Brooklyn
21020951;Brooklyn
1960128;Queens
20484008;Manhattan
7831209;Manhattan
10384906;Brooklyn
19382874;Brooklyn
19331457;Manhattan
10135;Manhattan
310670;Bronx
21228368;Queens
310670;Bronx
4065620;Brooklyn
11948817;Brooklyn
1539749;Brooklyn
7714918;Brooklyn
4934489;Manhattan
21228368;Queens
17249397;Manhattan
20543178;Brooklyn
18397763;Brooklyn
18397763;Brooklyn
18397763;Brooklyn
9234456;Brooklyn
21020951;Brooklyn
15908653;Brooklyn
21228368;Queens
4375988;Brooklyn
7848968;Brooklyn
17477908;Manhattan
11948817;Brooklyn
17462748;Brooklyn
1401835;Brooklyn
5243122;Brooklyn
21641206;Brooklyn
6032480;Brooklyn
17462748;Brooklyn
17462748;Brooklyn
1475015;Manhattan
17462748;Brooklyn
1172202;Queens
7549;Manhattan
6841194;Brooklyn
21641206;Brooklyn
21902316;Brooklyn
11189753;Brooklyn
3609048;Brooklyn
3250450;Queens
3250450;Queens
17770287;Manhattan
295128;Bronx
20243795;Brooklyn
21641206;Brooklyn
6280254;Manhattan
19597910;Queens
1141935;Brooklyn
7503643;Brooklyn
1260921;Bronx
2822805;Brooklyn
3578009;Queens
13063145;Brooklyn
11790239;Manhattan
11790239;Manhattan
2119276;Manhattan
7503643;Brooklyn
22548091;Manhattan
22384027;Brooklyn
22548091;Manhattan
2814004;Manhattan
2814004;Manhattan
20243795;Brooklyn
21902316;Brooklyn
1475015;Manhattan
21228368;Queens
21228368;Queens
22384027;Brooklyn
16286162;Bronx
263500;Brooklyn
22904933;Manhattan
15310997;Manhattan
15310997;Manhattan
1447684;Brooklyn
21841949;Manhattan
21841949;Brooklyn
195137;Manhattan
3716641;Manhattan
7351;Brooklyn
2050338;Queens
21641206;Brooklyn
22904933;Manhattan
16286162;Bronx
10304755;Brooklyn
3740730;Manhattan
23249630;Brooklyn
23249630;Brooklyn
